date,rice,wheat,oil
2018-06-15,38.044285714285714,31.192857142857143,72.89833333333333
2018-07-15,38.76857142857143,31.16428571428571,72.41166666666668
2018-08-15,37.88,31.130000000000003,71.17166666666667
2018-09-15,37.46999999999999,31.551428571428573,70.56166666666667
2018-10-15,36.03142857142857,31.654285714285717,70.06
2018-11-15,34.99857142857143,31.475714285714282,68.785
2018-12-15,32.71333333333333,31.954285714285714,67.585
2019-01-15,32.63833333333333,32.23857142857143,67.21499999999999
2019-02-15,31.736,32.04571428571428,66.65499999999999
2019-03-15,31.101999999999997,31.987142857142857,66.25833333333334
2019-04-15,30.468333333333334,32.18571428571429,65.98666666666666
2019-05-15,30.453333333333333,31.69,65.31333333333333
2019-06-15,30.279999999999998,31.58142857142857,64.63833333333334
